PlayerHP,OnixHP,PP,EnemyLastMove,GeodudeHP,EffectiveGrowls,Seeded,PlayerLastMove,win_prob
24,36,"(35, 40, 10, 0)",NONE,33,0,False,NONE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
24,36,"(34, 40, 10, 0)",TACKLE,32,0,False,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
24,36,"(33, 40, 10, 0)",TACKLE,31,0,False,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
24,36,"(33, 40, 9, 0)",LEECH_SEED,29,0,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
20,36,"(33, 39, 9, 0)",GROWL,27,1,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
22,36,"(33, 38, 9, 0)",GROWL,25,2,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
19,36,"(33, 38, 8, 0)",LEECH_SEED,23,2,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
21,36,"(32, 38, 8, 0)",TACKLE,20,2,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
23,36,"(32, 38, 7, 0)",LEECH_SEED,18,2,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
20,36,"(32, 38, 6, 0)",LEECH_SEED,16,2,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
17,36,"(31, 38, 6, 0)",TACKLE,13,2,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
14,36,"(31, 38, 5, 0)",LEECH_SEED,11,2,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
11,36,"(31, 38, 4, 0)",LEECH_SEED,9,2,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
8,36,"(30, 38, 4, 0)",TACKLE,6,2,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
10,36,"(30, 37, 4, 0)",GROWL,4,3,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
8,36,"(29, 37, 4, 0)",TACKLE,1,3,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
12,36,"(28, 37, 4, 0)",TACKLE,0,0,False,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
12,36,"(28, 37, 3, 0)",LEECH_SEED,0,0,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
14,33,"(27, 37, 3, 0)",TACKLE,0,0,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
16,31,"(27, 36, 3, 0)",GROWL,0,1,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
16,29,"(27, 36, 2, 0)",LEECH_SEED,0,1,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
14,27,"(27, 36, 1, 0)",LEECH_SEED,0,1,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
12,25,"(27, 36, 0, 0)",LEECH_SEED,0,1,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
14,23,"(27, 35, 0, 0)",GROWL,0,2,True,SCREECH,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
16,20,"(26, 35, 0, 0)",TACKLE,0,2,True,SCREECH,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
18,18,"(26, 34, 0, 0)",GROWL,0,3,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
20,16,"(26, 33, 0, 0)",GROWL,0,4,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
22,14,"(26, 32, 0, 0)",GROWL,0,5,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
24,12,"(26, 31, 0, 0)",GROWL,0,6,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
26,10,"(26, 30, 0, 0)",GROWL,0,6,True,SCREECH,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
28,8,"(26, 29, 0, 0)",GROWL,0,6,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
28,6,"(26, 28, 0, 0)",GROWL,0,6,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
28,3,"(25, 28, 0, 0)",TACKLE,0,6,True,BIDE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
28,1,"(25, 27, 0, 0)",GROWL,0,6,True,SCREECH,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
