PlayerHP,OnixHP,PP,EnemyLastMove,GeodudeHP,EffectiveGrowls,Seeded,PlayerLastMove,win_prob
24,36,"(35, 40, 10, 0)",NONE,33,0,False,NONE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
19,36,"(35, 39, 10, 0)",GROWL,33,1,False,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
19,36,"(35, 38, 10, 0)",GROWL,33,2,False,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
19,36,"(35, 37, 10, 0)",GROWL,33,3,False,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
15,36,"(34, 37, 10, 0)",TACKLE,31,3,False,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
11,36,"(33, 37, 10, 0)",TACKLE,30,3,False,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
11,36,"(33, 37, 9, 0)",LEECH_SEED,30,3,False,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
8,36,"(33, 36, 9, 0)",GROWL,30,4,False,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
8,36,"(32, 36, 9, 0)",TACKLE,29,4,False,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
7,36,"(32, 36, 8, 0)",LEECH_SEED,27,4,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
6,36,"(31, 36, 8, 0)",TACKLE,24,4,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
8,36,"(31, 36, 7, 0)",LEECH_SEED,22,4,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
7,36,"(31, 36, 6, 0)",LEECH_SEED,20,4,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
9,36,"(31, 36, 5, 0)",LEECH_SEED,18,4,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
11,36,"(30, 36, 5, 0)",TACKLE,15,4,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
13,36,"(29, 36, 5, 0)",TACKLE,12,4,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
15,36,"(29, 36, 4, 0)",LEECH_SEED,10,4,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
17,36,"(29, 35, 4, 0)",GROWL,8,5,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
19,36,"(29, 34, 4, 0)",GROWL,6,6,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
21,36,"(29, 34, 3, 0)",LEECH_SEED,4,6,True,DEFENSE_CURL,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
21,36,"(28, 34, 3, 0)",TACKLE,1,6,True,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
25,36,"(28, 33, 3, 0)",GROWL,0,0,False,TACKLE,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
